spec,controls,n_obs,n_items,n_features,ridge,dc_beta,dc_se,dc_z,dc_p_approx,dc_odds_ratio_per_unit,dc_bootstrap_ci_low,dc_bootstrap_ci_high,loglik,aic,bic,auc,fit_success,fit_message
M3_original_topic_controls,d_c;log_question_chars;log_answer_chars;log_solution_chars;has_diagram;log_tokens_in;log_tokens_out;source_benchmark;answer_type;model_label;topic,1032,258,21,1.0,-0.37525609362811013,0.1554176474502457,-2.41450118300267,0.015756771802999753,0.6871132909216532,-0.8308121709755567,-0.016536024798233868,-314.09538927140454,670.1907785428091,773.9151114096808,0.8156017409668032,True,Optimization terminated successfully.
M4_plus_text_difficulty_proxies,d_c;log_question_chars;log_answer_chars;log_solution_chars;has_diagram;log_tokens_in;log_tokens_out;log_question_number_count;log_solution_number_count;log_question_equation_count;log_solution_equation_count;log_body_entity_term_count;log_latex_symbol_count;source_benchmark;answer_type;model_label;topic,1032,258,27,1.0,-0.28738569196995023,0.164699473604574,-1.7449095961286,0.08100060671086369,0.7502223183051488,-0.8074364898821098,0.10794993669201944,-310.46983562648285,674.9396712529657,808.2995277960864,0.8214221329418734,True,Optimization terminated successfully.
M5_plus_answer_proxy,d_c;log_question_chars;log_answer_chars;log_solution_chars;has_diagram;log_tokens_in;log_tokens_out;log_question_number_count;log_solution_number_count;log_question_equation_count;log_solution_equation_count;log_body_entity_term_count;log_latex_symbol_count;source_benchmark;answer_type;answer_type_proxy;model_label;topic,1032,258,28,1.0,-0.28816900717800215,0.1647623739755705,-1.7489976638763973,0.08029142322555476,0.7496348878554393,-0.8102660394070569,0.10845126188714768,-310.46149501664365,676.9229900332873,815.2221005224495,0.82127619391005,True,Optimization terminated successfully.
