item_id,model_label,n_params_b,source_benchmark,topic,has_diagram,answer_type,d_c,question_chars,answer_chars,solution_chars,tokens_in,tokens_out,latency_s,is_correct,tokens_out_log,question_chars_log,solution_chars_log
PHYBench_478,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,795,41,670,241.0,335.0,7.4,1,5.817111159963204,6.679599185844383,6.508769136971682
PHYBench_71,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,1173,105,5316,394.0,702.0,15.19,0,6.555356891810665,7.068172000388042,8.57866451350434
PHYBench_259,Qwen14B,14.0,PHYBench,MODERN,0,formula,0,743,55,3134,250.0,880.0,19.06,0,6.78105762593618,6.612041034833092,8.050384453067021
PHYBench_766,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,367,73,3076,155.0,1024.0,22.53,0,6.932447891572509,5.908082938168931,8.031710375322042
PHYBench_716,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,1577,49,987,395.0,506.0,11.03,0,6.2285110035911835,7.363913501405819,6.895682697747868
PHYBench_103,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,744,30,1250,271.0,696.0,15.12,0,6.546785410760524,6.61338421837956,7.1316985104669115
PHYBench_310,Qwen14B,14.0,PHYBench,MODERN,0,formula,3,550,151,510,196.0,657.0,14.22,0,6.489204931325317,6.311734809152915,6.236369590203704
PHYBench_110,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,597,73,1420,221.0,437.0,9.59,0,6.082218910376446,6.393590753950631,7.259116128097101
PHYBench_256,Qwen14B,14.0,PHYBench,MODERN,0,formula,3,906,34,2057,310.0,464.0,10.22,0,6.142037405587356,6.810142450115136,7.629489916393995
PHYBench_112,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,563,71,5191,204.0,1013.0,22.27,0,6.921658184151129,6.335054251498059,8.554874258383926
PHYBench_505,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1370,108,818,379.0,897.0,19.4,0,6.8001700683022,7.223295679562314,6.70808408385307
PHYBench_331,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1229,71,1503,308.0,434.0,9.45,0,6.075346031088684,7.114769448366463,7.315883504509785
PHYBench_498,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1483,219,4675,396.0,794.0,17.04,0,6.678342114654332,7.302496423727326,8.450198322591959
PHYBench_737,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,592,45,1500,208.0,829.0,18.15,0,6.721425700790643,6.385194398997726,7.313886831633462
PHYBench_636,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,725,74,2021,249.0,575.0,12.42,0,6.3561076606958915,6.587550014824796,7.611842399580417
PHYBench_420,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,982,40,2051,286.0,202.0,4.42,0,5.313205979041787,6.890609120147166,7.62657020629066
PHYBench_228,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,887,162,3088,268.0,385.0,8.33,0,5.955837369464831,6.78897174299217,8.035602692918582
PHYBench_450,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,767,104,719,234.0,703.0,15.36,0,6.556778356158042,6.643789733147672,6.579251212010101
PHYBench_708,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1353,66,1571,367.0,802.0,17.31,0,6.688354713946762,7.21081845347222,7.360103972989152
PHYBench_649,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,915,96,1531,284.0,720.0,15.31,0,6.580639137284949,6.82001636467413,7.3343293503005365
PHYBench_688,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,547,39,3170,198.0,665.0,14.31,0,6.501289670540389,6.306275286948016,8.061802274538348
PHYBench_118,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,256,29,791,140.0,450.0,9.77,0,6.111467339502679,5.54907608489522,6.674561391814426
PHYBench_318,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,433,60,650,172.0,620.0,13.35,0,6.431331081933479,6.073044534100405,6.478509642208569
PHYBench_62,Qwen14B,14.0,PHYBench,ADVANCED,0,formula,1,1959,28,1287,704.0,916.0,19.94,0,6.821107472256465,7.580699752224563,7.160845906664299
PHYBench_143,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,432,52,4134,159.0,245.0,5.37,0,5.5053315359323625,6.07073772800249,8.327242607457793
PHYBench_401,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,702,69,2545,225.0,750.0,16.21,0,6.621405651764134,6.555356891810665,7.842278779117352
PHYBench_443,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,2090,105,1978,568.0,582.0,12.67,0,6.368187186350492,7.645397699428633,7.590346945602565
PHYBench_115,Qwen14B,14.0,PHYBench,ADVANCED,0,formula,1,1097,161,3972,343.0,647.0,13.99,0,6.473890696352274,7.001245622069476,8.287276755814599
PHYBench_493,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,990,92,2632,283.0,658.0,14.38,0,6.490723534502507,6.898714534329988,7.87587915949631
PHYBench_69,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,2905,102,4543,834.0,527.0,11.9,0,6.269096283706261,7.974532844130228,8.421562960400987
PHYBench_65,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,818,62,3674,237.0,294.0,6.4,0,5.68697535633982,6.70808408385307,8.209308411646937
PHYBench_131,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,680,26,918,263.0,446.0,9.75,0,6.102558594613569,6.523562306149512,6.823286122355687
PHYBench_709,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,879,45,1845,272.0,472.0,10.47,0,6.159095388491933,6.779921907472252,7.520776415062797
PHYBench_423,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,643,105,3319,270.0,1024.0,22.0,0,6.932447891572509,6.467698726104354,8.107720061910534
PHYBench_36,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,914,62,3560,305.0,1021.0,22.04,0,6.92951677076365,6.818924065275521,8.177796683277778
PHYBench_333,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,477,170,1333,195.0,365.0,7.91,0,5.902633333401366,6.169610732491456,7.195937226475569
PHYBench_50,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,820,182,3555,256.0,543.0,11.68,0,6.298949246855942,6.710523109452428,8.176391596633795
PHYBench_221,Qwen14B,14.0,PHYBench,MODERN,0,formula,3,853,403,1530,289.0,803.0,17.38,0,6.6895992691789665,6.74993119378857,7.333676395657684
PHYBench_120,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,445,54,875,169.0,390.0,8.51,0,5.968707559985366,6.100318952020064,6.775366090936392
PHYBench_121,Qwen14B,14.0,PHYBench,MODERN,0,formula,0,620,177,2348,201.0,701.0,15.15,0,6.553933404025811,6.431331081933479,7.761744984658913
PHYBench_648,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,933,109,2373,276.0,810.0,17.27,0,6.698268054115413,6.839476438228843,7.772331575169614
PHYBench_72,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,1076,25,1823,329.0,1024.0,22.14,0,6.932447891572509,6.981934677156389,7.508787170634276
PHYBench_603,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1547,59,605,398.0,556.0,12.15,0,6.322565239927284,7.344719054149673,6.406879986069314
PHYBench_670,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,1504,60,1434,451.0,1024.0,22.25,0,6.932447891572509,7.316548177182976,7.268920128193722
PHYBench_140,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,372,24,834,147.0,178.0,3.94,0,5.187385805840755,5.921578419643816,6.727431724850855
PHYBench_653,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,1030,41,2291,294.0,501.0,10.86,0,6.218600119691729,6.93828448401696,7.73718007783463
PHYBench_719,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,919,42,2013,313.0,988.0,21.47,0,6.8966943316227125,6.824373670043086,7.607878073278507
PHYBench_211,Qwen14B,14.0,PHYBench,MODERN,0,formula,0,691,39,3330,264.0,674.0,14.67,0,6.51471269087253,6.539585955617669,8.11102783819368
PHYBench_139,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,506,69,1236,192.0,652.0,14.02,0,6.481577129276431,6.2285110035911835,7.1204443723924875
PHYBench_106,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,685,35,641,211.0,353.0,7.67,0,5.869296913133774,6.530877627725885,6.464588303689961
PHYBench_58,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1656,37,3243,593.0,443.0,9.71,0,6.095824562432225,7.4127640174265625,8.084562415235304
PHYBench_412,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1549,302,1064,446.0,890.0,19.13,0,6.792344427470809,7.346010209913293,6.970730078143525
PHYBench_43,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,703,439,2096,249.0,1024.0,22.02,0,6.932447891572509,6.556778356158042,7.64826303090192
PHYBench_117,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,919,49,1872,301.0,702.0,15.17,0,6.555356891810665,6.824373670043086,7.5352967024440884
PHYBench_42,Qwen14B,14.0,PHYBench,OPTICS,0,formula,2,428,60,1527,171.0,605.0,13.01,0,6.406879986069314,6.061456918928017,7.331714969726466
PHYBench_45,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,2,1132,107,1701,427.0,577.0,12.68,0,6.359573868672378,7.0326242610280065,7.43955930913332
PHYBench_37,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,1203,29,2151,373.0,375.0,8.08,0,5.929589143389895,7.093404625868766,7.674152921281675
PHYBench_654,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1329,114,1869,358.0,526.0,11.34,0,6.267200548541362,7.1929342212158,7.533693709848633
PHYBench_244,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,0,445,26,413,184.0,545.0,11.73,0,6.302618975744905,6.100318952020064,6.025865973825314
PHYBench_25,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,4,449,21,777,180.0,728.0,16.23,0,6.591673732008658,6.1092475827643655,6.656726524178391
PHYBench_100,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,966,37,4601,266.0,567.0,12.45,0,6.342121418721152,6.874198495453294,8.434246270595311
PHYBench_89,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,2220,386,5621,587.0,483.0,10.67,0,6.182084906716632,7.7057128238944275,8.634442751466477
OlympiadBench_802,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,651,8,476,233.0,598.0,13.17,0,6.395261598115449,6.480044561926653,6.1675164908883415
OlympiadBench_803,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,733,18,508,307.0,728.0,15.68,0,6.591673732008658,6.598509028614515,6.2324480165505225
OlympiadBench_806,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,637,20,1315,222.0,414.0,9.14,1,6.028278520230698,6.45833828334479,7.182352111885263
OlympiadBench_807,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,724,4,561,265.0,522.0,11.55,0,6.259581464064923,6.586171654854675,6.331501849893691
OlympiadBench_808,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,849,7,346,279.0,629.0,13.72,1,6.4457198193855785,6.745236349484363,5.849324779946859
OlympiadBench_810,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,1168,4,606,400.0,660.0,14.37,0,6.493753839851686,7.063903961472068,6.408528791059498
OlympiadBench_811,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,823,6,390,282.0,406.0,8.83,0,6.008813185442595,6.714170529909472,5.968707559985366
OlympiadBench_812,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,812,2,1093,238.0,787.0,17.25,0,6.669498089857879,6.70073110954781,6.9975959829819265
OlympiadBench_813,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,604,5,618,239.0,787.0,17.18,0,6.669498089857879,6.405228458030842,6.428105272684596
OlympiadBench_814,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,483,5,558,173.0,269.0,5.85,0,5.598421958998375,6.182084906716632,6.326149473155099
OlympiadBench_816,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,535,4,321,191.0,302.0,6.53,0,5.713732805509369,6.284134161070802,5.7745515455444085
OlympiadBench_817,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,604,3,829,235.0,1024.0,22.29,0,6.932447891572509,6.405228458030842,6.721425700790643
OlympiadBench_819,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,1323,5,423,548.0,531.0,11.43,0,6.2766434893416445,7.188412736496954,6.049733455231958
OlympiadBench_821,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,254,6,597,128.0,1024.0,22.51,0,6.932447891572509,5.541263545158426,6.393590753950631
OlympiadBench_823,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,993,1,500,354.0,552.0,12.05,1,6.315358001522335,6.901737206656574,6.2166061010848646
OlympiadBench_826,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,1531,7,1350,417.0,1024.0,22.4,0,6.932447891572509,7.3343293503005365,7.208600337960199
OlympiadBench_828,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,1335,4,1885,402.0,648.0,14.42,0,6.47543271670409,7.197435354096591,7.542213463193403
OlympiadBench_835,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,524,6,1779,210.0,1024.0,22.42,0,6.932447891572509,6.263398262591624,7.484368643286131
OlympiadBench_836,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,422,5,2469,176.0,573.0,12.44,0,6.352629396319567,6.0473721790462776,7.8119734296220225
OlympiadBench_837,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,874,7,1071,292.0,523.0,11.49,0,6.261491684321042,6.774223886357614,6.977281341630747
OlympiadBench_840,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,526,8,3107,188.0,442.0,9.53,0,6.093569770045136,6.267200548541362,8.041734711487537
OlympiadBench_842,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,729,5,3147,280.0,888.0,19.67,0,6.790097235513905,6.593044534142437,8.054522609537294
OlympiadBench_844,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,212,1,571,114.0,1024.0,22.31,0,6.932447891572509,5.3612921657094255,6.349138991379798
OlympiadBench_847,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,637,20,621,237.0,792.0,17.54,0,6.675823221634848,6.45833828334479,6.432940092739179
OlympiadBench_849,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,1147,7,1261,383.0,704.0,15.01,0,6.558197802812269,7.045776576879511,7.140453043101158
OlympiadBench_851,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,480,4,2511,203.0,633.0,13.96,0,6.452048954437226,6.175867270105761,7.828834527588089
OlympiadBench_853,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,684,6,579,236.0,767.0,16.62,0,6.643789733147672,6.529418838262226,6.363028103540465
OlympiadBench_856,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,367,5,1875,190.0,510.0,11.15,0,6.236369590203704,5.908082938168931,7.53689712956617
OlympiadBench_860,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,410,6,1324,174.0,545.0,12.07,0,6.302618975744905,6.018593214496234,7.1891677384203225
OlympiadBench_861,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,418,21,1290,177.0,527.0,11.57,0,6.269096283706261,6.037870919922137,7.1631723908466425
OlympiadBench_863,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,437,4,1050,178.0,479.0,10.42,0,6.173786103901937,6.082218910376446,6.957497370876951
OlympiadBench_865,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,602,6,1736,281.0,511.0,11.31,0,6.238324625039508,6.401917196727186,7.459914766241105
OlympiadBench_866,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,528,20,1964,238.0,773.0,16.7,0,6.651571873589727,6.270988431858299,7.583247524303362
OlympiadBench_868,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,638,7,2516,217.0,509.0,11.22,0,6.234410725718371,6.459904454377535,7.830822995135316
OlympiadBench_869,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,667,23,1422,259.0,1024.0,22.35,0,6.932447891572509,6.504288173536645,7.260522598089852
OlympiadBench_870,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,1423,2,2028,421.0,687.0,15.06,0,6.5337888379333435,7.261225091971921,7.615298339825815
OlympiadBench_871,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,566,21,2912,249.0,596.0,12.83,0,6.391917113392602,6.340359303727752,7.976938756959434
OlympiadBench_872,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,671,5,1901,285.0,692.0,15.21,0,6.541029999189903,6.51025834052315,7.550661243105336
OlympiadBench_873,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,363,1,242,169.0,532.0,11.46,1,6.278521424165844,5.8971538676367405,5.493061443340548
OlympiadBench_876,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,824,2,328,297.0,757.0,16.2,0,6.630683385642372,6.715383386334681,5.796057750765372
OlympiadBench_877,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,676,4,595,250.0,425.0,9.31,0,6.054439346269371,6.517671272912275,6.39024066706535
OlympiadBench_878,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,319,28,1471,132.0,475.0,10.37,0,6.16541785423142,5.768320995793772,7.294377299288821
OlympiadBench_881,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,2525,2,631,849.0,1024.0,22.34,0,6.932447891572509,7.8343923029104365,6.448889394146858
OlympiadBench_883,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,977,7,442,316.0,447.0,9.98,0,6.104793232414985,6.885509670034818,6.093569770045136
OlympiadBench_884,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,397,21,660,175.0,551.0,12.01,0,6.313548046277095,5.986452005284438,6.493753839851686
OlympiadBench_885,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,1097,7,924,401.0,689.0,14.96,0,6.536691597591305,7.001245622069476,6.829793737512425
OlympiadBench_888,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,1135,6,1842,329.0,776.0,16.91,0,6.655440350367647,7.035268599281097,7.519149957669823
OlympiadBench_890,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,358,3,2637,175.0,461.0,10.0,0,6.135564891081739,5.883322388488279,7.87777633327726
OlympiadBench_891,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,451,39,931,195.0,484.0,10.55,0,6.184148890937483,6.113682179832232,6.837332814685591
OlympiadBench_893,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,697,7,1170,264.0,647.0,13.85,0,6.473890696352274,6.548219102762372,7.065613363597717
OlympiadBench_894,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,527,8,2710,215.0,811.0,17.56,0,6.699500340161678,6.269096283706261,7.905072849498666
OlympiadBench_897,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,614,7,2413,230.0,1024.0,22.31,0,6.932447891572509,6.421622267806518,7.789040401657477
OlympiadBench_898,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,948,8,2921,365.0,1024.0,22.27,0,6.932447891572509,6.855408798609928,7.980023592310645
OlympiadBench_899,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,1197,3,1124,466.0,577.0,12.52,0,6.359573868672378,7.088408778675395,7.025538314638521
OlympiadBench_900,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,617,6,3696,227.0,574.0,12.56,0,6.354370040797351,6.42648845745769,8.215276958936633
OlympiadBench_901,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,338,22,1827,164.0,429.0,9.42,0,6.063785208687608,5.82600010738045,7.510977752014095
OlympiadBench_902,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,650,13,1560,243.0,548.0,11.86,0,6.3080984415095305,6.478509642208569,7.353081920515432
OlympiadBench_903,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,1250,1,400,347.0,668.0,14.42,1,6.505784060128229,7.1316985104669115,5.993961427306569
OlympiadBench_905,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,422,6,747,179.0,693.0,14.94,1,6.542471960506805,6.0473721790462776,6.617402977974478
OlympiadBench_907,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,918,6,1173,320.0,1024.0,22.03,0,6.932447891572509,6.823286122355687,7.068172000388042
OlympiadBench_908,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,523,21,4324,228.0,407.0,8.94,0,6.0112671744041615,6.261491684321042,8.37216741936598
