item_id,model_label,n_params_b,source_benchmark,topic,has_diagram,answer_type,d_c,question_chars,answer_chars,solution_chars,tokens_in,tokens_out,latency_s,is_correct,tokens_out_log,question_chars_log,solution_chars_log
PHYBench_495,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,2266,94,4588,529.0,530.0,11.48,0,6.274762021241939,7.726212650507529,8.431417414394833
PHYBench_600,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,731,24,551,258.0,697.0,15.14,0,6.548219102762372,6.595780513961311,6.313548046277095
PHYBench_285,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,593,26,1341,198.0,442.0,9.47,0,6.093569770045136,6.386879319362645,7.201916317531627
PHYBench_321,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1139,101,724,335.0,423.0,9.11,0,6.049733455231958,7.038783541388542,6.586171654854675
PHYBench_674,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,4,554,32,1822,198.0,502.0,10.75,0,6.220590170099739,6.318968113746434,7.508238774678663
PHYBench_83,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1130,42,2064,329.0,325.0,7.05,0,5.786897381366708,7.030857476116121,7.632885505395133
PHYBench_54,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,549,34,473,186.0,508.0,10.86,0,6.2324480165505225,6.309918278226516,6.161207321695077
PHYBench_10,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,410,117,1085,185.0,649.0,13.79,0,6.476972362889683,6.018593214496234,6.990256500493881
PHYBench_33,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,843,104,1409,262.0,320.0,7.06,0,5.771441123130016,6.738152494595957,7.251344983372214
PHYBench_41,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,469,51,352,183.0,558.0,12.1,0,6.326149473155099,6.152732694704104,5.8664680569332965
PHYBench_453,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,2068,121,1091,533.0,707.0,15.27,0,6.56244409369372,7.634820677745543,6.9957661563048505
PHYBench_281,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,0,1063,48,1707,315.0,293.0,6.46,0,5.683579767338681,6.96979066990159,7.443078374348516
PHYBench_95,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,953,131,3020,307.0,771.0,16.84,0,6.648984550024776,6.860663671448287,8.013343181386672
PHYBench_101,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,5,1747,42,3871,472.0,817.0,17.77,0,6.706862336602747,7.466227556215481,8.261526448396468
PHYBench_630,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,1166,78,1147,370.0,597.0,12.83,0,6.393590753950631,7.062191632286556,7.045776576879511
PHYBench_134,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,304,21,1419,158.0,452.0,9.77,0,6.115892125483034,5.720311776607412,7.258412150595307
PHYBench_650,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,767,70,1892,243.0,398.0,8.48,0,5.988961416889864,6.643789733147672,7.545918151209323
PHYBench_332,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,4,955,445,2997,287.0,567.0,12.35,0,6.342121418721152,6.862757913051401,8.005700678662542
PHYBench_250,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,1077,304,2246,343.0,803.0,17.32,0,6.6895992691789665,6.982862751468942,7.717351272185329
PHYBench_409,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,1807,72,3453,485.0,513.0,11.22,0,6.2422232654551655,7.4999765409521215,8.147288258706624
PHYBench_133,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,191,21,1029,112.0,467.0,10.19,0,6.148468295917647,5.2574953720277815,6.937314081223682
PHYBench_336,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,829,101,1447,231.0,593.0,12.75,0,6.386879319362645,6.721425700790643,7.277938572945661
PHYBench_88,Qwen14B,14.0,PHYBench,MODERN,0,formula,2,1639,149,2915,475.0,582.0,12.63,0,6.368187186350492,7.402451520818244,7.977968093128549
PHYBench_105,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,907,16,1294,356.0,686.0,14.81,0,6.532334292222349,6.811244378601294,7.166265974133638
PHYBench_617,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,941,51,2001,267.0,861.0,18.75,0,6.759255270663693,6.848005274576363,7.601901959875166
PHYBench_702,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1012,51,4686,311.0,597.0,12.7,0,6.393590753950631,6.920671504248683,8.452547997922705
PHYBench_367,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,432,92,2458,192.0,668.0,14.45,0,6.505784060128229,6.07073772800249,7.807510042216193
PHYBench_497,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1041,83,1423,303.0,392.0,8.47,0,5.973809611869261,6.948897222313312,7.261225091971921
PHYBench_457,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,696,297,881,212.0,791.0,17.06,0,6.674561391814426,6.546785410760524,6.782192056006791
PHYBench_432,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,985,139,690,293.0,842.0,18.45,0,6.736966958001855,6.893656354602635,6.53813982376767
PHYBench_284,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1221,107,1745,357.0,253.0,5.57,0,5.537334267018537,7.108244139731541,7.465082736399547
PHYBench_39,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,626,47,495,205.0,595.0,12.9,1,6.39024066706535,6.440946540632921,6.206575926724928
PHYBench_124,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,514,52,1797,190.0,486.0,10.52,0,6.18826412308259,6.244166900663736,7.494430215031565
PHYBench_55,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,731,70,1621,227.0,642.0,14.02,0,6.466144724237619,6.595780513961311,7.3914152346753585
PHYBench_419,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,710,258,1026,254.0,1024.0,22.17,0,6.932447891572509,6.566672429803241,6.934397209928558
PHYBench_458,Qwen14B,14.0,PHYBench,ADVANCED,0,formula,1,597,47,507,242.0,482.0,10.61,0,6.180016653652572,6.393590753950631,6.230481447578482
PHYBench_206,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,675,206,1318,251.0,280.0,6.06,0,5.638354669333745,6.516193076042964,7.1846291527173145
PHYBench_204,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,658,81,769,217.0,834.0,17.94,0,6.727431724850855,6.490723534502507,6.646390514847729
