label,n_params_b,n_items_scored,overall_acc,kappa_eff,kappa_ci95,r2_group,per_dc_summary
Qwen14B,14.0,258,0.08914728682170543,0.09045136874876451,0.05034065393759351,0.6884416025928255,d=1:n=99:acc=0.091; d=2:n=34:acc=0.029; d=3:n=14:acc=0.000; d=4:n=4:acc=0.000; d=5:n=1:acc=0.000
DeepSeekV3,671.0,258,0.20930232558139536,0.21595315309454233,0.08328929405126718,0.8208131420899787,d=1:n=99:acc=0.192; d=2:n=34:acc=0.118; d=3:n=14:acc=0.071; d=4:n=4:acc=0.000; d=5:n=1:acc=0.000
KimiK2,1000.0,258,0.1434108527131783,0.11939955245960572,0.060641309690580965,0.7326315676879382,d=1:n=99:acc=0.111; d=2:n=34:acc=0.059; d=3:n=14:acc=0.071; d=4:n=4:acc=0.000; d=5:n=1:acc=0.000
Qwen7B-Ollama,7.0,258,0.05813953488372093,0.07082947464313903,0.04463286936316326,0.7189612946509786,d=1:n=99:acc=0.071; d=2:n=34:acc=0.029; d=3:n=14:acc=0.000; d=4:n=4:acc=0.000; d=5:n=1:acc=0.000
