model_label,d_c,raw_n,valid_n,correct_n,accuracy,ci_lo,ci_hi,solve_error_n,judge_error_n
DeepSeek,0,17,17,5,0.294118,0.132798,0.531335,0,0
DeepSeek,1,53,53,15,0.283019,0.179661,0.415705,0,0
DeepSeek,2,26,26,11,0.423077,0.255442,0.610517,0,0
DeepSeek,3,2,2,0,0.000000,0.000000,0.657628,0,0
DeepSeek,4,2,2,0,0.000000,0.000000,0.657628,0,0
Kimi-K2,0,17,17,7,0.411765,0.216108,0.639949,0,0
Kimi-K2,1,53,53,15,0.283019,0.179661,0.415705,0,0
Kimi-K2,2,26,26,6,0.230769,0.110337,0.420519,0,0
Kimi-K2,3,2,2,0,0.000000,0.000000,0.657628,0,0
Kimi-K2,4,2,2,0,0.000000,0.000000,0.657628,0,0
Qwen-14B,0,17,17,4,0.235294,0.095549,0.472622,0,0
Qwen-14B,1,53,53,11,0.207547,0.120045,0.334580,0,0
Qwen-14B,2,26,26,0,0.000000,0.000000,0.128733,0,0
Qwen-14B,3,2,2,0,0.000000,0.000000,0.657628,0,0
Qwen-14B,4,2,2,0,0.000000,0.000000,0.657628,0,0
