family,shape_model,n,k_params,neg_loglik,aic,bic,delta_aic,delta_bic,params_json
pooled,logistic,1032,2,376.63607823803443,757.2721564760689,767.1506643681519,0.0,0.0,"{'theta0': -1.536777307492096, 'theta1': -0.5737831532752297}"
pooled,exp_decay,1032,3,376.7400285915537,759.4800571831074,774.2978190212319,2.2079007070385614,7.147154653080065,"{'theta0': -14.658674298195445, 'theta1': -1.5352286396152113, 'theta2': -0.6836016673026285}"
pooled,gompertz,1032,3,376.28042469078775,758.5608493815755,773.3786112197,1.2886929055066503,6.227946851548154,"{'theta0': -0.413239382400611, 'theta1': -0.1765393561084657, 'theta2': -0.9402507799556543}"
pooled,envelope_dplus_delta,1032,3,377.0960281987067,760.1920563974134,775.0098182355379,2.919899921344495,7.859153867385999,"{'theta0': -0.034007328510268484, 'theta1': -11.51770164118777, 'theta2': -1.5561567006575552}"
pooled,monotone_spline_pava,1032,6,376.0473408776048,764.0946817552096,793.7302054314587,6.822525279140791,26.579541063306806,"{'d0': 0.1721698113207547, 'd1': 0.11616161616161616, 'd2': 0.058823529411764705, 'd3': 0.03571428571428571, 'd4': 0.0, 'd5': 0.0}"
DeepSeekV3,logistic,258,2,127.68557652796858,259.37115305593716,266.4770722257804,0.0,0.0,"{'theta0': -0.9089035597074168, 'theta1': -0.5634128707300695}"
DeepSeekV3,exp_decay,258,3,127.73674011833094,261.4734802366619,272.1323589914267,2.1023271807247284,5.655286765646338,"{'theta0': -14.765625546884712, 'theta1': -0.9040001638510845, 'theta2': -0.7949623155404195}"
DeepSeekV3,gompertz,258,3,127.5993657008871,261.19873140177424,271.85761015653907,1.8275783458370825,5.380537930758692,"{'theta0': 0.7148048457817391, 'theta1': -0.13889953725730433, 'theta2': -1.0523632013783808}"
DeepSeekV3,envelope_dplus_delta,258,3,127.83971311626667,261.67942623253333,272.33830498729816,2.308273176596174,5.861232761517783,"{'theta0': 0.05256376950278017, 'theta1': -11.795095487560875, 'theta2': -0.9205191904348374}"
DeepSeekV3,monotone_spline_pava,258,6,127.4809073597262,266.9618147194524,288.2795722289821,7.59066166351522,21.802500003201715,"{'d0': 0.2830188679245283, 'd1': 0.1919191919191919, 'd2': 0.11764705882352941, 'd3': 0.07142857142857142, 'd4': 0.0, 'd5': 0.0}"
KimiK2,logistic,258,2,101.55339443068547,207.10678886137094,214.2127080312142,0.0,0.0,"{'theta0': -1.3173714410918007, 'theta1': -0.6774031791465054}"
KimiK2,exp_decay,258,3,101.47664433841922,208.95328867683844,219.6121674316033,1.8464998154674959,5.399459400389105,"{'theta0': -3.5400526377218147, 'theta1': -1.4256872423793252, 'theta2': -0.2048819615285982}"
KimiK2,gompertz,258,3,101.71494617999124,209.4298923599825,220.08877111474735,2.3231034986115446,5.876063083533154,"{'theta0': 11.641755047901396, 'theta1': 0.46207763035447075, 'theta2': -1.3327957169449371}"
KimiK2,envelope_dplus_delta,258,3,101.4621950595424,208.9243901190848,219.58326887384965,1.8176012577138465,5.370560842635456,"{'theta0': -0.33316491157374467, 'theta1': -5.679934716698108, 'theta2': -1.283348781263001}"
KimiK2,monotone_spline_pava,258,5,101.20078866876375,212.4015773375275,230.16637526213557,5.294788476156555,15.953667230921383,"{'d0': 0.2169811320754717, 'd1': 0.1111111111111111, 'd2': 0.0625, 'd3': 0.0625, 'd4': 0.0, 'd5': 0.0}"
Qwen14B,logistic,258,2,74.76755719022711,153.53511438045422,160.64103355029746,0.0,0.0,"{'theta0': -1.8771626492406506, 'theta1': -0.6597714828521173}"
Qwen14B,exp_decay,258,3,74.80966139690685,155.6193227938137,166.27820154857855,2.0842084133594767,5.637167998281086,"{'theta0': -16.816966318351078, 'theta1': -1.8805587808696016, 'theta2': -0.5152661118079858}"
Qwen14B,gompertz,258,3,74.12334115561802,154.24668231123604,164.9055610660009,0.7115679307818255,4.264527515703435,"{'theta0': -1.8648170141042133, 'theta1': -2.3698547865391557, 'theta2': 0.3390296172504094}"
Qwen14B,envelope_dplus_delta,258,3,75.00469694717479,156.00939389434959,166.66827264911444,2.474279513895368,6.0272390988169775,"{'theta0': -0.08822133274720985, 'theta1': -15.669893136846914, 'theta2': -1.9355418890781335}"
Qwen14B,monotone_spline_pava,258,6,74.11895041176605,160.2379008235321,181.5556583330618,6.702786443077883,20.91462478276435,"{'d0': 0.12264150943396226, 'd1': 0.09090909090909091, 'd2': 0.029411764705882353, 'd3': 0.0, 'd4': 0.0, 'd5': 0.0}"
Qwen7B-Ollama,logistic,258,2,56.41411383046118,116.82822766092237,123.9341468307656,0.0,0.0,"{'theta0': -2.4864576123055504, 'theta1': -0.40195666465840574}"
Qwen7B-Ollama,exp_decay,258,3,56.42709715390715,118.8541943078143,129.51307306257914,2.0259666468919306,5.57892623181354,"{'theta0': -16.233545258621536, 'theta1': -2.4897927266519564, 'theta2': -0.9816760781081185}"
Qwen7B-Ollama,gompertz,258,3,55.597551778991686,117.19510355798337,127.85398231274823,0.3668758970610071,3.9198354819826307,"{'theta0': -2.61319267435379, 'theta1': -21.146619655783557, 'theta2': 2.3502150653101923}"
Qwen7B-Ollama,envelope_dplus_delta,258,3,56.60994728923644,119.21989457847287,129.87877333323772,2.391666917550509,5.9446265024721185,"{'theta0': -0.896965620254583, 'theta1': 0.840202697443074, 'theta2': -0.18026046775425764}"
