source,spec,n_obs,dc_beta,dc_se,dc_z,dc_p_approx,dc_or,boot_lo,boot_hi,auc,bic
llm_consensus_dc,M0_dc_only,1032,-0.5737834193561671,0.12868190364481827,-4.458928591388398,8.237035520002803e-06,0.5633898612483231,,,0.614480585816443,767.1506643637895
llm_consensus_dc,M1_item_controls,1032,-0.3888344567297895,0.14438435179082149,-2.6930512337868717,0.007080138821957168,0.677846473648385,,,0.7561959703657919,747.2399313404836
llm_consensus_dc,M2_model_controls,1032,-0.3306502919795998,0.1485593165685655,-2.22571225835569,0.026033461140742942,0.7184563750702982,,,0.814863461158756,727.3145018998362
llm_consensus_dc,M3_topic_controls,1032,-0.3752560936281099,0.15541764745024547,-2.414501183002672,0.015756771802999656,0.6871132909216534,,,0.8156017409668032,773.9151114096808
regex_dc,M0_dc_only,1032,-0.6676453156150348,0.22433963409711333,-2.976047091732444,0.0029199002121070307,0.5129149096923806,,,0.5811206400714243,780.4412256897831
regex_dc,M1_item_controls,1032,-0.48247222078703883,0.24300574718687737,-1.9854354325867276,0.04709604709101912,0.617255512048476,,,0.7536291603354881,750.4674821544685
regex_dc,M2_model_controls,1032,-0.376538825780785,0.24978392325095672,-1.507458209800309,0.13169324791317447,0.686232473657945,,,0.8143741361697013,729.9146728637907
regex_dc,M3_topic_controls,1032,-0.4196076829310227,0.2574521908491891,-1.6298470078929002,0.10313383584224929,0.6573046410681198,,,0.8150179848395099,777.1658251015187
