spec,family,kappa_estimate,ci_lo,ci_hi,nll,n
pooled,ALL,0.12130640377262669,0.0922383219938196,0.1559247959253554,181.90096911800163,608
unpooled,DeepSeekV3,0.21653328306148073,0.14098214103797713,0.31529516620786635,64.63069175633478,152
unpooled,KimiK2,0.12112658957537194,0.0682303963354374,0.196147986197182,46.045023001617714,152
unpooled,Qwen14B,0.08543167146901298,0.04280871353350964,0.14986112457083145,35.29619081412958,152
unpooled,Qwen7B-Ollama,0.0677542859317699,0.03096436341486989,0.1261240839330137,30.229611363958675,152
hierarchical,DeepSeekV3,0.17440870899409655,0.12092000000000001,0.22585000000000002,,
hierarchical,KimiK2,0.12479059971243314,0.07595,0.18088,,
hierarchical,Qwen14B,0.10127040362410267,0.06096000000000001,0.1509,,
hierarchical,Qwen7B-Ollama,0.08795932775552084,0.045970000000000004,0.13591,,
hierarchical_hyperprior,mu_kappa,0.1219149721840975,,,180.40662643450145,608
hierarchical_hyperprior,sigma_kappa,0.041770495170016624,,,,
