model_label,d_c,n,accuracy
DeepSeekV3,0,106,0.2830188679245283
DeepSeekV3,1,99,0.1919191919191919
DeepSeekV3,2,34,0.11764705882352941
DeepSeekV3,3,14,0.07142857142857142
DeepSeekV3,4,4,0.0
DeepSeekV3,5,1,0.0
KimiK2,0,106,0.2169811320754717
KimiK2,1,99,0.1111111111111111
KimiK2,2,34,0.058823529411764705
KimiK2,3,14,0.07142857142857142
KimiK2,4,4,0.0
KimiK2,5,1,0.0
Qwen14B,0,106,0.12264150943396226
Qwen14B,1,99,0.09090909090909091
Qwen14B,2,34,0.029411764705882353
Qwen14B,3,14,0.0
Qwen14B,4,4,0.0
Qwen14B,5,1,0.0
Qwen7B-Ollama,0,106,0.0660377358490566
Qwen7B-Ollama,1,99,0.0707070707070707
Qwen7B-Ollama,2,34,0.029411764705882353
Qwen7B-Ollama,3,14,0.0
Qwen7B-Ollama,4,4,0.0
Qwen7B-Ollama,5,1,0.0
