spec,n_obs,n_features,ridge,dc_beta,dc_se,dc_z,dc_p_approx,dc_odds_ratio_per_unit,dc_bootstrap_ci_low,dc_bootstrap_ci_high,loglik,aic,bic,auc,fit_success
M0_dc_only,1032,2,1.0,-0.5737834193561672,0.12868190364481716,-4.458928591388437,8.237035520001282e-06,0.5633898612483231,,,-376.63607823585323,757.2721564717065,767.1506643637895,0.594126383201559,True
M1_item_controls,1032,9,1.0,-0.38883445672978945,0.14438435179082126,-2.6930512337868753,0.007080138821957094,0.677846473648385,,,-342.39332291305504,702.7866458261101,747.2399313404836,0.7561272931743457,True
M2_model_controls,1032,14,1.0,-0.33065029197959994,0.14855931656856544,-2.225712258355692,0.0260334611407428,0.7184563750702981,,,-315.08247332762755,658.1649466552551,727.3145018998362,0.814863461158756,True
M3_topic_controls,1032,21,1.0,-0.37525609362811013,0.1554176474502457,-2.41450118300267,0.015756771802999753,0.6871132909216532,-0.873118171500211,-0.06963830153187142,-314.09538927140454,670.1907785428091,773.9151114096808,0.8156017409668032,True
